"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends","Percentage of patients who need unplanned medical care related to a wound that is new, is worse, or has become infected","Percentage of patients whose wounds improved or healed after an operation"
"147909","1ST ASSIST HOME HEALTHCARE, LLC","5519 NORTH CUMBERLAND SUITE 1012","CHICAGO","IL","60656","8882857651","Proprietary",1/19/2007 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201,201
"459477","1ST CARE HOME HEALTH EL PASO","5862 CROMO SUITE 202","EL PASO","TX","79912","9155870074","Proprietary",11/3/1999 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,201,199
"679612","1ST CHOICE HEALTHCARE SERVICES INC","2650 FOUNTAIN VIEW DR #316","HOUSTON","TX","77057","7137728100","Proprietary",2/5/2007 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201,201,201
"679657","1ST CHOICE HOME HEALTH","721 S I 35 E SUITE 200","DENTON","TX","76205","9403874594","Proprietary",9/1/2007 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201,201
"679339","1ST CHOICE HOME HEALTH","915 E AUSTIN STREET","NACOGDOCHES","TX","75965","9365595559","Proprietary",8/21/2003 0:00:00,"Y","Y","Y","Y","Y","Y",54,61,37,62,78,53,56,60,5,42,5,199
"677789","1ST CHOICE HOME HEALTH","101 KINGS PLAZA SUITE H","COMMERCE","TX","75428","9038862666","Proprietary",3/3/1994 0:00:00,"Y","Y","Y","Y","Y","Y",24,33,9,41,52,22,24,52,45,42,5,83
"027020","1ST CHOICE HOME HEALTH CARE, INC","159 E REDOUBT AVENUE","SOLDOTNA","AK","99669","9072605959","Proprietary",1/2/1996 0:00:00,"Y","Y","Y","Y","Y","Y",33,49,32,41,55,29,53,29,31,72,5,75
"107766","1ST CHOICE HOME HEALTH INC","8695 COLLEGE PKWY STE 275","FORT MYERS","FL","33919","8665334778","Proprietary",4/17/2003 0:00:00,"Y","Y","Y","Y","Y","Y",30,36,39,81,53,33,57,17,18,75,5,199
"108301","1ST CLASS HOME HEALTH INC","8660 W FLAGER ST #121","MIAMI","FL","33144","3052271998","Proprietary",5/15/2006 0:00:00,"Y","Y","N","N","Y","Y",39,54,26,80,64,28,22,30,23,67,5,199
"677890","1ST GENESIS HOME HEALTH SERVICES","8303 WINDFERN RD SUITE A","HOUSTON","TX","77040","7139377494","Proprietary",3/30/2006 0:00:00,"Y","Y","Y","Y","Y","Y",25,46,24,72,49,35,27,39,5,57,5,199
