"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients whose bladder control improves","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who are short of breath less often","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who stay at home after an episode of home health care ends","Percentage of patients who need unplanned medical care related to a wound that is new, is worse, or has become infected","Percentage of patients whose wounds improved or healed after an operation"
"108001","A & A HOMECARE, INC","211 NORTH HIGHWAY 71","WEWAHITCHKA","FL","32465","8502273331","Proprietary",11/7/2003 0:00:00,"Y","Y","Y","N","N","Y",48,63,46,61,61,34,63,27,24,61,0,90
"457892","A & B HOME HEALTH CARE INC","555 IH 35 SOUTH SUITE #324","NEW BRAUNFELS","TX","78130","8306254837","Proprietary",9/22/2005 0:00:00,"Y","Y","Y","Y","Y","Y",43,43,52,75,68,52,66,37,27,56,2,199
"108075","A & B HOME HEALTH INC","4431 DAVIE ROAD, SUITE 119","DAVIE","FL","33314","9543218681","Proprietary",7/15/2004 0:00:00,"Y","Y","Y","Y","Y","Y",38,45,25,58,50,46,58,31,5,63,0,199
"077239","A & B HOMEHEALTH SOLUTIONS, INC","419 WHALLEY AVENUE","NEW HAVEN","CT","06511","2038481986","Proprietary",12/12/2006 0:00:00,"Y","Y","Y","Y","Y","Y",31,199,199,26,20,199,199,44,27,47,0,199
"679451","A & C HEALTH SERVICES","10101 FONDREN ROAD SUITE 220A","HOUSTON","TX","77096","7137718570","Proprietary",3/17/2004 0:00:00,"Y","Y","Y","Y","Y","Y",40,33,69,77,79,199,67,40,42,50,0,199
"679395","A & C HEALTH SERVICES INC","6050 PATRICK HENRY","SAN ANTONIO","TX","78233","2108291500","Proprietary",12/19/2003 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,0,199
"743122","A & D HOME HEALTH SERVICES INC","1309 MILL BRANCH DRIVE","GARLAND","TX","75040","2147039665","Proprietary",3/20/2008 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201,201
"679532","A & G HOME HEALTH SERVICES","301 NELSON STREET","SEABROOK","TX","77586","2812910168","Proprietary",8/9/2006 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,45,0,50,0,199
"679333","A & G PERSONAL PROVIDER SERVICES","318 WATERFRONT DRIVE","SEABROOK","TX","77586","2814742277","Proprietary",9/4/2003 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,45,0,52,1,199
"457998","A & I HEALTHCARE INC","1004 N ILLINOIS","WESLACO","TX","78596","9569687017","Proprietary",2/8/2006 0:00:00,"Y","Y","Y","Y","Y","Y",16,16,29,45,38,21,14,35,27,54,2,199
