ProviderNum,ProviderName,StreetAddress,City,State,ZipCode,Telephone,OwnershipType,DateCertified,Nursing Care,Physical Therapy,Occupational Therapy,Speech Therapy,Medical Social Services,Home Health Aide Services,How often the home health team began their patients’ care in a timely manner. ,How often the home health team taught patients (or their family caregivers) about their drugs. ,How often the home health team checked patients’ risk of falling. ,How often the home health team checked patients for depression. ,How often the home health team determined whether patients received a flu shot for the current flu season. ,How often the home health team determined whether their patients received a pneumococcal vaccine (pneumonia shot). ,"For patients with diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care. ",How often the home health team checked patients for pain. ,How often the home health team treated their patients’ pain.  ,How often the home health team treated heart failure (weakening of the heart) patients’ symptoms. ,How often the home health team took doctor-ordered action to prevent pressure sores (bed sores). ,How often the home health team included treatments to prevent pressure sores (bed sores) in the plan of care. ,How often the home health team checked patients for the risk of developing pressure sores (bed sores). ,How often patients got better at walking or moving around.,How often patients got better at getting in and out of bed. ,How often patients got better at bathing.,How often patients had less pain when moving around ,How often patients’ breathing improved. ,How often patients’ wounds improved or healed after an operation.,How often patients got better at taking their drugs correctly by mouth. ,"How often patients receiving home health care needed any urgent, unplanned care in the hospital emergency room – without being admitted to the hospital. ",How often home health patients had to be admitted to the hospital 
027020,"1ST CHOICE HOME HEALTH CARE, INC",159 E REDOUBT AVENUE,SOLDOTNA,AK,99669,9072605959,PROPRIETARY,1/2/1996,Y,Y,N,Y,Y,Y,85,91,83,99,50,47,100,96,99,199,97,99,100,51,44,46,32,48,199,41,24,16
027014,PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH,126 WASHINGTON STREET,KETCHIKAN,AK,99901,9072258914,VOLUNTARY NON-PROFIT - CHURCH,3/4/1993,Y,Y,Y,Y,Y,Y,91,96,83,98,68,77,100,98,99,199,100,99,100,48,46,60,64,36,199,47,19,20
027022,FRONTIER HOME HEALTH,"3909 ARCTIC BLVD, SUITE 102",ANCHORAGE,AK,99503,9072721275,PROPRIETARY,5/7/1996,Y,Y,Y,Y,Y,N,69,71,89,98,29,40,63,97,92,199,83,85,98,57,48,60,60,71,81,41,14,16
027009,PETERSBURG MEDICAL CENTER HOME,P.O. BOX 589,PETERSBURG,AK,99833,9077724291,GOVERNMENT - LOCAL,7/21/1987,Y,Y,Y,N,N,Y,92,33,95,92,199,83,199,92,199,199,199,199,100,199,199,199,199,199,199,199,199,199
027032,"MAXIM HEALTHCARE SERVICES, INC","711 H STREET, SUITE 100",ANCHORAGE,AK,99501,9077700862,PROPRIETARY,8/23/2006,Y,Y,Y,Y,Y,Y,81,93,99,99,62,61,95,98,100,199,99,99,98,48,40,51,54,58,93,37,14,16
027024,HOME BASED SERVICES,4160 TUDOR CENTRE DRIVE,ANCHORAGE,AK,99508,9077292490,VOLUNTARY NON-PROFIT - OTHER,7/17/1996,Y,Y,N,N,Y,Y,89,91,95,96,71,67,91,99,95,199,100,65,87,56,61,73,55,63,90,49,1,12
027002,HOSPICE & HOME CARE OF JUNEAU,419 SIXTH STREET,JUNEAU,AK,99801,9074633113,VOLUNTARY NON-PROFIT - PRIVATE,12/27/1982,Y,Y,Y,Y,Y,Y,64,73,98,58,65,50,79,77,97,199,100,97,84,45,55,57,56,58,199,62,17,15
027008,MAT-SU REGIONAL HOME CARE,"950 E BOGARD, STE 132",WASILLA,AK,99654,9078616000,PROPRIETARY,1/22/1987,Y,Y,Y,Y,Y,Y,68,97,98,95,67,66,95,98,98,199,98,96,99,55,48,65,65,75,100,55,13,21
027006,FAIRBANKS MEMORIAL HOSPITAL HHA,"1302 21ST AVENUE, FLOOR 2",FAIRBANKS,AK,99701,9074585410,VOLUNTARY NON-PROFIT - OTHER,9/19/1985,Y,Y,Y,Y,Y,Y,90,93,97,97,72,54,97,98,100,100,99,96,99,48,51,59,53,61,81,45,23,18
027010,SOUTH PENINSULA HOSPITAL HHA,4300 BARTLETT STREET,HOMER,AK,99603,9072350369,VOLUNTARY NON-PROFIT - OTHER,2/20/1990,Y,Y,Y,Y,Y,Y,74,93,100,84,72,66,199,93,100,199,199,96,100,72,199,65,63,199,199,199,21,30
027007,SITKA COMMUNITY HOSPITAL HHA,209 MOLLER AVENUE,SITKA,AK,99835,9077471750,COMBINATION GOVERNMENT VOLUNTARY,9/26/1985,Y,Y,Y,Y,N,N,72,80,100,87,199,44,199,100,199,199,199,199,97,199,199,199,199,199,199,199,199,199
027021,PROVIDENCE KODIAK HOME HEALTH,204 EAST REZANOF DRIVE,KODIAK,AK,99615,9074869545,VOLUNTARY NON-PROFIT - CHURCH,12/21/1995,Y,Y,Y,Y,Y,Y,69,87,97,93,77,76,199,100,97,199,73,77,100,47,44,42,44,34,199,27,199,199
027001,PROVIDENCE IN HOME SERVICES,"4001 DALE STREET, SUITE 101",ANCHORAGE,AK,99508,9075630130,VOLUNTARY NON-PROFIT - CHURCH,5/17/1982,Y,Y,Y,Y,Y,Y,68,91,84,94,60,62,93,98,98,100,92,97,99,46,33,56,55,56,75,31,13,13
017053,CARESOUTH HOMECARE PROFESSIONALS,"3700 ROSS CLARK CIRCLE, SUITE 1",DOTHAN,AL,36303,3347935758,PROPRIETARY,8/20/1984,Y,Y,Y,Y,Y,Y,93,95,92,96,50,52,94,99,99,93,95,99,100,67,64,74,60,69,92,48,14,16
017056,GENTIVA HEALTH SERVICES,"11123 CHANTILLY PARKWAY, UNIT L",PIKE ROAD,AL,36064,3342701151,PROPRIETARY,12/3/1984,Y,Y,Y,Y,Y,Y,93,94,93,96,65,68,78,99,91,97,91,97,98,68,54,75,84,87,92,68,10,13
