"ProviderNum","ProviderName","StreetAddress","City","State","ZipCode","Telephone","OwnershipType","DateCertified","Nursing Care Services","Physical Therapy Services","Occupational Therapy Services","Speech Pathology Services","Medical Social Services","Home Health Aide Services","Percentage of patients who get better at walking or moving around","Percentage of patients who get better at getting in and out of bed","Percentage of patients who get better at getting to and from the toilet","Percentage of patients who have less pain when moving around","Percentage of patients who get better at bathing","Percentage of patients who get better at taking their medicines correctly (by mouth)","Percentage of patients who get better at getting dressed","Percentage of patients who stay the same (don't get worse) at bathing","Percentage of patients who had to be admitted to the hospital","Percentage of patients who need urgent, unplanned medical care","Percentage of patients who are confused less often"
"367542","A 1 NURSING CARE OF CLEVELAND","2060 S TAYLOR RD, SUITE 101","CLEVELAND HEIGHTS","OH","44118","2168123437","Proprietary",11/2/1993 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,44,199,199,199,38,5,199
"679458","A A A HOME HEALTH CARE AGENCY","8500 STEMMONS SUITE 2080","DALLAS","TX","75247","2146370073","Proprietary",4/1/2004 0:00:00,"Y","Y","Y","Y","Y","Y",201,201,201,201,201,201,201,201,201,201,201
"057433","A C  HOME HEALTH AGENCY, INC.","3870 CRENSHAW BLVD 205","LOS ANGELES","CA","90008","3232945189","Proprietary",10/12/1993 0:00:00,"Y","Y","Y","Y","Y","Y",41,40,45,74,69,42,62,95,28,22,40
"679329","A CARE HOME HEALTH SERVICES","5909 WEST LOOP SOUTH SUITE 570","BELLAIRE","TX","77401","7136658200","Proprietary",8/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",42,34,199,74,73,199,199,78,19,21,36
"367660","A CARING ALTERNATIVE INC","1501 EUCLID AVE","CLEVELAND","OH","44115","2166646544","Proprietary",9/15/1995 0:00:00,"Y","N","N","N","N","Y",199,199,199,199,199,199,199,199,86,199,199
"679071","A CENTER FOR HOME CARE","602 CORA STREET","CENTER","TX","75935","9365919550","Proprietary",9/19/2001 0:00:00,"Y","Y","Y","Y","Y","Y",45,60,199,49,65,35,53,95,33,19,28
"247248","A CHANCE TO GROW INC","1800 SECOND STREET NE","MINNEAPOLIS","MN","55418","6127891236","Voluntary Non Profit - Private",2/14/1989 0:00:00,"Y","Y","Y","Y","N","Y",201,201,201,201,201,201,201,201,201,201,201
"367499","A D HOME HEALTH CARE","1009 DELTA AVENUE","CINCINNATI","OH","45208","5135334977","Proprietary",10/2/1992 0:00:00,"Y","Y","Y","N","N","Y",199,199,199,199,199,199,199,199,20,33,199
"107784","A FAMILIAR FACE HOME HEALTH","5899 WHITFIELD AVENUE, SUITE 107","SARASOTA","FL","34243","9413659474","Proprietary",6/26/2003 0:00:00,"Y","Y","Y","Y","Y","Y",199,199,199,199,199,199,199,199,199,199,199
"107639","A FAMILIAR FACE HOME HEALTH SERVICES, INC.","2750 BAHIA VISTA STREET, SUITE 125","SARASOTA","FL","34239","9413659474","Proprietary",4/13/2001 0:00:00,"Y","Y","Y","Y","Y","Y",29,56,68,55,61,33,73,92,19,18,38
